freq,product,nrg_cons,unit,tax,currency,geo\TIME_PERIOD	2020-S2 	2021-S1 	2021-S2 	2022-S1 	2022-S2 	2023-S1 	2023-S2 	2024-S1 	2024-S2 	2025-S1 
S,6000,MWH500-1999,KWH,X_TAX,EUR,PT	0.0781 	0.0755 	0.0892 	0.1351 	0.1721 	0.1505 	0.1381 	0.1068 	0.1118 	0.1136 
S,6000,MWH500-1999,KWH,X_TAX,EUR,RO	0.0848 	0.0824 	0.1130 	0.2149 d	0.3395 d	0.1632 	0.1560 	0.1415 	0.1501 	0.1560 
S,6000,MWH500-1999,KWH,X_TAX,EUR,RS	0.0731 	0.0702 	0.0774 	0.0893 	0.1026 	0.1218 	0.1318 	0.1356 	0.1172 	0.1242 
S,6000,MWH500-1999,KWH,X_TAX,EUR,SE	0.0668 	0.0705 	0.0976 	0.1115 	0.1520 	0.1064 	0.0896 	0.0937 	0.0848 	0.0958 
S,6000,MWH500-1999,KWH,X_TAX,EUR,SI	0.0809 	0.0757 	0.0812 	0.1435 	0.1817 	0.2057 	0.1893 	0.1574 	0.1661 	0.1410 
S,6000,MWH500-1999,KWH,X_TAX,EUR,SK	0.0972 	0.0929 	0.0999 	0.1892 	0.2161 	0.2285 	0.1928 	0.1615 	0.1793 	0.1638 
S,6000,MWH500-1999,KWH,X_TAX,EUR,TR	0.0627 	0.0648 	0.0724 	0.1171 	0.1934 	0.1392 	0.0986 	0.0898 	0.0965 	0.0895 
S,6000,MWH500-1999,KWH,X_TAX,EUR,UA	0.0558 	0.0595 	: 	: 	: 	: 	: 	: 	: 	: 
S,6000,MWH500-1999,KWH,X_TAX,EUR,XK	0.0641 	0.0635 	0.0649 	0.0659 e	0.0669 	0.0713 	0.0754 	0.0741 	0.0728 	: 
S,6000,MWH500-1999,KWH,X_TAX,NAC,AL	12.8300 e	12.8100 e	12.8100 e	12.8100 	12.8100 	12.8100 e	12.8100 e	12.8100 	12.8100 e	14.0000 
S,6000,MWH500-1999,KWH,X_TAX,NAC,AT	0.0871 	0.0884 	0.0961 	0.1437 	0.1717 	0.2554 	0.2431 	0.1955 	0.1970 	0.1782 
S,6000,MWH500-1999,KWH,X_TAX,NAC,BA	0.1373 	0.1406 	0.1359 	0.1396 	0.1693 	0.1770 	0.1756 	0.1861 	0.1853 	0.2144 
S,6000,MWH500-1999,KWH,X_TAX,NAC,BE	0.0810 	0.0810 	0.1035 	0.1519 	0.2012 	0.1950 	0.1760 	0.1392 	0.1456 	0.1590 
S,6000,MWH500-1999,KWH,X_TAX,NAC,BG	0.1629 	0.1647 	0.3444 	0.4640 	0.6809 	0.3131 	0.2656 	0.2201 	0.3140 	0.2842 
S,6000,MWH500-1999,KWH,X_TAX,NAC,CY	0.1095 	0.1091 	0.1412 	0.1722 	0.2443 	0.1921 	0.1986 	0.1824 	0.1930 	0.1643 
S,6000,MWH500-1999,KWH,X_TAX,NAC,CZ	1.8947 	1.9101 	1.9286 	3.5588 	4.3315 	4.6471 	4.3443 	4.1374 	4.3991 	4.1179 
S,6000,MWH500-1999,KWH,X_TAX,NAC,DE	0.0885 	0.0908 	0.0967 	0.1512 	0.1782 	0.1904 	0.1890 	0.1976 	0.2010 	0.1828 
S,6000,MWH500-1999,KWH,X_TAX,NAC,DK	0.4576 	0.5394 	0.8555 	1.1870 	1.6844 	0.9869 	0.8625 	0.7770 	0.9438 	0.9143 
S,6000,MWH500-1999,KWH,X_TAX,NAC,EE	0.0750 	0.0834 	0.1403 	0.1502 	0.2463 	0.1433 	0.1447 	0.1313 	0.1365 	0.1335 
S,6000,MWH500-1999,KWH,X_TAX,NAC,EL	0.0805 	0.0890 	0.2013 	0.2830 	0.3925 	0.1627 	0.1546 	0.1274 	0.1715 	0.1685 
S,6000,MWH500-1999,KWH,X_TAX,NAC,ES	0.0882 	0.0931 	0.1115 	0.1769 	0.2064 	0.1522 	0.1470 	0.1217 	0.1280 	0.1240 
S,6000,MWH500-1999,KWH,X_TAX,NAC,FI	0.0689 	0.0669 	0.0793 	0.0802 	0.1144 	0.0951 	0.0879 	0.0863 d	0.0780 d	0.0797 
S,6000,MWH500-1999,KWH,X_TAX,NAC,FR	0.0754 	0.0850 	0.0810 	0.1203 	0.1237 	0.2506 	0.2107 	0.1639 	0.1591 	0.1372 
S,6000,MWH500-1999,KWH,X_TAX,NAC,GE	0.1638 	0.2852 	0.2382 	: 	0.2679 	0.2606 	0.2580 	0.2380 	0.2385 	0.2600 
S,6000,MWH500-1999,KWH,X_TAX,NAC,HR	0.6623 	0.6652 	0.7492 	1.0630 	1.6924 	0.2780 	0.2187 	0.2169 	0.2155 	0.2166 
S,6000,MWH500-1999,KWH,X_TAX,NAC,HU	29.7454 	29.3270 	35.8336 	65.2419 	89.7194 	114.0625 	99.8367 	80.0907 	85.6911 	77.9971 
S,6000,MWH500-1999,KWH,X_TAX,NAC,IE	0.1252 	0.1378 	0.1778 	0.2104 	0.2834 	0.2940 	0.2691 	0.2543 	0.2505 	0.2636 
S,6000,MWH500-1999,KWH,X_TAX,NAC,IS	11.3000 	6.8048 e	10.4700 e	10.3484 e	11.0900 e	11.4300 e	11.4500 e	12.4800 e	14.0700 e	: 
S,6000,MWH500-1999,KWH,X_TAX,NAC,IT	0.0878 	0.0939 	0.1403 	0.2354 	0.3257 	0.2031 	0.1771 	0.1515 	0.1660 	0.1774 
S,6000,MWH500-1999,KWH,X_TAX,NAC,LI	0.0971 	0.0945 	0.1043 	0.1300 	0.1374 	0.3057 	0.2284 	0.1816 	0.1640 	0.1860 
S,6000,MWH500-1999,KWH,X_TAX,NAC,LT	0.0901 	0.0932 	0.1294 	0.1758 	0.3294 	0.1741 	0.1688 	0.1684 	0.1636 	0.1598 
S,6000,MWH500-1999,KWH,X_TAX,NAC,LU	0.0832 	0.0836 	0.0855 	0.1230 	0.1441 	0.2477 	0.2332 	0.2041 	0.2018 	0.1763 
S,6000,MWH500-1999,KWH,X_TAX,NAC,LV	0.0839 	0.0849 	0.1191 	0.1467 	0.2292 	0.1685 	0.1495 	0.1451 	0.1446 	0.1354 
S,6000,MWH500-1999,KWH,X_TAX,NAC,MD	1.4372 	1.3484 	1.3165 	1.5367 	2.9297 	2.9138 	2.1301 	1.9000 	1.8825 	3.3041 
S,6000,MWH500-1999,KWH,X_TAX,NAC,ME	0.0513 	0.0773 	0.0527 	0.0762 	0.0761 	0.0768 	0.0764 	0.0800 	0.0799 	0.0817 p
S,6000,MWH500-1999,KWH,X_TAX,NAC,MK	4.6620 	4.6381 	7.5476 	10.3909 	19.7924 	10.4158 	7.1847 	6.1902 	8.9651 	7.7977 
S,6000,MWH500-1999,KWH,X_TAX,NAC,MT	0.1327 	0.1330 	0.1386 	0.1332 	0.1333 	0.1396 	0.1396 	0.1394 	0.1331 	0.1333 p
S,6000,MWH500-1999,KWH,X_TAX,NAC,NL	0.0752 	0.0777 	0.0937 	0.1391 	0.1517 	0.2004 	0.1788 	0.1658 	0.1711 	0.1633 
S,6000,MWH500-1999,KWH,X_TAX,NAC,NO	0.4201 	0.7278 	1.1210 	1.3670 	2.0807 	1.1945 	0.8512 	0.9096 	0.7071 	0.8590 
S,6000,MWH500-1999,KWH,X_TAX,NAC,PL	0.3506 	0.3319 	0.3146 	0.4580 	0.5282 	0.6489 	0.6153 	0.5487 	0.5690 	0.5480 
S,6000,MWH500-1999,KWH,X_TAX,NAC,PT	0.0781 	0.0755 	0.0892 	0.1351 	0.1721 	0.1505 	0.1381 	0.1068 	0.1118 	0.1136 
S,6000,MWH500-1999,KWH,X_TAX,NAC,RO	0.4119 	0.4039 	0.5581 	1.0630 d	1.6696 d	0.8055 	0.7738 	0.7041 	0.7466 	0.7807 
S,6000,MWH500-1999,KWH,X_TAX,NAC,RS	8.5937 	8.2481 	9.0973 	10.4972 	12.0430 	14.2899 	15.4508 	15.8859 	13.7139 	14.5581 
S,6000,MWH500-1999,KWH,X_TAX,NAC,SE	0.6886 	0.7138 	0.9916 	1.1685 	1.6380 	1.2056 	1.0407 	1.0669 	0.9728 	1.0632 
S,6000,MWH500-1999,KWH,X_TAX,NAC,SI	0.0809 	0.0757 	0.0812 	0.1435 	0.1817 	0.2057 	0.1893 	0.1574 	0.1661 	0.1410 
S,6000,MWH500-1999,KWH,X_TAX,NAC,SK	0.0972 	0.0929 	0.0999 	0.1892 	0.2161 	0.2285 	0.1928 	0.1615 	0.1793 	0.1638 
S,6000,MWH500-1999,KWH,X_TAX,NAC,TR	0.5600 	0.6173 	0.8290 	1.9048 	3.5857 	3.0061 	2.9507 	3.0731 	3.5593 	3.6806 
S,6000,MWH500-1999,KWH,X_TAX,NAC,UA	1.8394 	1.9930 	: 	: 	: 	: 	: 	: 	: 	: 
S,6000,MWH500-1999,KWH,X_TAX,NAC,XK	0.0641 	0.0635 	0.0649 	0.0659 e	0.0669 	0.0713 	0.0754 	0.0741 	0.0728 	: 
S,6000,MWH500-1999,KWH,X_TAX,PPS,AL	0.2017 e	0.1990 e	0.1990 e	0.1998 	0.1998 	0.2010 e	0.2014 e	0.2036 	0.2048 e	0.2253 
S,6000,MWH500-1999,KWH,X_TAX,PPS,AT	0.0762 	0.0773 	0.0832 	0.1244 	0.1505 	0.2275 	0.2165 	0.1726 	0.1738 	0.1552 
S,6000,MWH500-1999,KWH,X_TAX,PPS,BA	0.1371 	0.1404 	0.1336 	0.1372 	0.1662 	0.1663 	0.1623 	0.1745 	0.1727 	0.1858 
S,6000,MWH500-1999,KWH,X_TAX,PPS,BE	0.0726 	0.0726 	0.0930 	0.1367 	0.1811 	0.1752 	0.1573 	0.1241 	0.1290 	0.1416 
S,6000,MWH500-1999,KWH,X_TAX,PPS,BG	0.1546 	0.1563 	0.3190 	0.4298 	0.6279 	0.2656 	0.2253 	0.1864 	0.2659 	0.2368 
S,6000,MWH500-1999,KWH,X_TAX,PPS,CY	0.1195 	0.1191 	0.1540 	0.1878 	0.2696 	0.2100 	0.2178 	0.2031 	0.2119 	0.1799 
S,6000,MWH500-1999,KWH,X_TAX,PPS,CZ	0.0990 	0.0998 	0.0996 	0.1838 	0.2254 	0.2339 	0.2192 	0.2062 	0.2166 	0.2029 
S,6000,MWH500-1999,KWH,X_TAX,PPS,DE	0.0801 	0.0822 	0.0870 	0.1361 	0.1605 	0.1701 	0.1689 	0.1758 	0.1795 	0.1637 
S,6000,MWH500-1999,KWH,X_TAX,PPS,DK	0.0461 	0.0543 	0.0866 	0.1194 	0.1695 	0.1002 	0.0870 	0.0788 	0.0957 	0.0937 
S,6000,MWH500-1999,KWH,X_TAX,PPS,EA	0.0816 	0.0861 	0.1043 	0.1625 	0.2010 	0.1950 	0.1780 	0.1569 	0.1633 	0.1561 
S,6000,MWH500-1999,KWH,X_TAX,PPS,EE	0.0935 	0.1039 	0.1713 	0.1834 	0.3005 	0.1618 	0.1613 	0.1459 	0.1487 	0.1460 
S,6000,MWH500-1999,KWH,X_TAX,PPS,EL	0.0973 	0.1076 	0.2453 	0.3439 	0.4770 	0.1984 	0.1885 	0.1573 	0.2117 	0.2074 
S,6000,MWH500-1999,KWH,X_TAX,PPS,ES	0.0939 	0.0992 	0.1192 	0.1891 	0.2186 	0.1632 	0.1576 	0.1330 	0.1426 	0.1382 
S,6000,MWH500-1999,KWH,X_TAX,PPS,EU27_2020	0.0872 	0.0905 	0.1091 	0.1678 	0.2121 	0.2000 	0.1824 	0.1601 	0.1674 	0.1600 
S,6000,MWH500-1999,KWH,X_TAX,PPS,FI	0.0545 	0.0529 	0.0638 	0.0643 	0.0917 	0.0767 	0.0709 	0.0719 d	0.0649 d	0.0664 
S,6000,MWH500-1999,KWH,X_TAX,PPS,FR	0.0693 	0.0781 	0.0745 	0.1110 	0.1141 	0.2307 	0.1929 	0.1500 	0.1457 	0.1260 
S,6000,MWH500-1999,KWH,X_TAX,PPS,HR	0.1363 	0.1369 	0.1527 	0.2167 	0.3447 	0.4176 	0.3246 	0.3139 	0.3154 	0.3038 
S,6000,MWH500-1999,KWH,X_TAX,PPS,HU	0.1336 	0.1256 	0.1545 	0.2580 	0.3548 	0.4511 	0.3948 	0.2944 	0.3202 	0.2783 
S,6000,MWH500-1999,KWH,X_TAX,PPS,IE	0.1030 	0.1149 	0.1483 	0.1783 	0.2384 	0.2456 	0.2264 	0.2117 	0.2116 	0.2227 
S,6000,MWH500-1999,KWH,X_TAX,PPS,IS	0.0504 	0.0304 e	0.0464 e	0.0458 e	0.0491 e	0.0521 e	0.0514 e	0.0557 e	0.0616 e	: 
S,6000,MWH500-1999,KWH,X_TAX,PPS,IT	0.0884 	0.0945 	0.1431 	0.2401 	0.3335 	0.2112 	0.1845 	0.1569 	0.1726 	0.1855 
S,6000,MWH500-1999,KWH,X_TAX,PPS,LT	0.1322 	0.1367 	0.1860 	0.2527 	0.4771 	0.2314 	0.2244 	0.2180 	0.2103 	0.2045 
S,6000,MWH500-1999,KWH,X_TAX,PPS,LU	0.0643 	0.0646 	0.0670 	0.0964 	0.1112 	0.1909 	0.1763 	0.1543 	0.1534 	0.1336 
S,6000,MWH500-1999,KWH,X_TAX,PPS,LV	0.1137 	0.1150 	0.1570 	0.1911 	0.2986 	0.2110 	0.1867 	0.1799 	0.1871 	0.1757 
S,6000,MWH500-1999,KWH,X_TAX,PPS,ME	0.1017 	0.1533 	0.1012 	0.1464 	0.1478 	0.1433 	0.1399 	0.1406 	0.1420 	0.1455 p
S,6000,MWH500-1999,KWH,X_TAX,PPS,MK	0.1646 	0.1637 	0.2577 	0.3548 	0.6900 	0.3536 	0.2460 	0.2076 	0.2874 	0.2500 
S,6000,MWH500-1999,KWH,X_TAX,PPS,MT	0.1513 	0.1516 	0.1570 	0.1525 	0.1505 	0.1557 	0.1557 	0.1535 	0.1466 	0.1465 p
S,6000,MWH500-1999,KWH,X_TAX,PPS,NL	0.0645 	0.0669 	0.0807 	0.1188 	0.1296 	0.1705 	0.1521 	0.1415 	0.1460 	0.1393 
S,6000,MWH500-1999,KWH,X_TAX,PPS,NO	0.0277 	0.0481 	0.0773 	0.0943 	0.1450 	0.0875 	0.0628 	0.0640 	0.0499 	0.0594 
S,6000,MWH500-1999,KWH,X_TAX,PPS,PL	0.1308 	0.1239 	0.1143 	0.1578 	0.1820 	0.2253 	0.2137 	0.1788 	0.1854 	0.1769 
S,6000,MWH500-1999,KWH,X_TAX,PPS,PT	0.0918 	0.0887 	0.1042 	0.1577 	0.2010 	0.1760 	0.1638 	0.1291 	0.1359 	0.1378 
S,6000,MWH500-1999,KWH,X_TAX,PPS,RO	0.1612 	0.1581 	0.2133 	0.3854 d	0.6054 d	0.2921 	0.2806 	0.2504 	0.2634 	0.2631 
S,6000,MWH500-1999,KWH,X_TAX,PPS,RS	0.1375 	0.1320 	0.1421 	0.1639 	0.1884 	0.2119 	0.2257 	0.2211 	0.1921 	0.2024 
S,6000,MWH500-1999,KWH,X_TAX,PPS,SE	0.0520 	0.0543 	0.0754 	0.0888 	0.1245 	0.0895 	0.0770 	0.0784 	0.0720 	0.0790 
S,6000,MWH500-1999,KWH,X_TAX,PPS,SI	0.0962 	0.0900 	0.0958 	0.1692 	0.2139 	0.2393 	0.2231 	0.1819 	0.1928 	0.1616 
S,6000,MWH500-1999,KWH,X_TAX,PPS,SK	0.1207 	0.1154 	0.1234 	0.2338 	0.2686 	0.2758 	0.2431 	0.1993 	0.2241 	0.2043 
S,6000,MWH500-1999,KWH,X_TAX,PPS,TR	0.1703 	0.1877 	0.1989 	0.4570 	0.4944 	0.4051 	0.3977 	0.2756 	0.1967 	0.2034 
S,6000,MWH500-1999,KWH,X_VAT,EUR,AL	0.1036 e	0.1039 e	0.1053 e	0.1057 	0.1097 	0.1135 e	0.1223 e	0.1252 	0.1292 e	0.1420 
S,6000,MWH500-1999,KWH,X_VAT,EUR,AT	0.1184 	0.1228 	0.1278 	0.1617 	0.1786 e	0.2597 e	0.2471 e	0.1987 e	0.2006 e	0.2029 e
S,6000,MWH500-1999,KWH,X_VAT,EUR,BA	0.0730 	0.0747 	0.0723 	0.0741 	0.0893 	0.0910 	0.0903 	0.0956 	0.0952 	0.1101 
S,6000,MWH500-1999,KWH,X_VAT,EUR,BE	0.1185 	0.1218 	0.1439 	0.1943 	0.2367 	0.2269 	0.2164 	0.1780 	0.1815 	0.1940 
S,6000,MWH500-1999,KWH,X_VAT,EUR,BG	0.0843 	0.0962 	0.1564 	0.1736 	0.1794 	0.1492 	0.1362 	0.1136 	0.1322 	0.1271 
S,6000,MWH500-1999,KWH,X_VAT,EUR,CY	0.1364 	0.1515 	0.1946 	0.2471 	0.3162 	0.2762 	0.2759 	0.2453 	0.2578 	0.2321 
S,6000,MWH500-1999,KWH,X_VAT,EUR,CZ	0.0842 	0.0883 	0.0905 	0.1573 	0.1840 	0.1974 	0.1798 	0.1850 	0.1939 	0.1844 
S,6000,MWH500-1999,KWH,X_VAT,EUR,DE	0.1818 	0.1813 	0.1860 	0.2132 	0.2056 	0.2192 	0.2175 	0.2328 	0.2359 	0.2281 
S,6000,MWH500-1999,KWH,X_VAT,EUR,DK	0.0686 	0.0797 	0.1164 	0.1609 	0.2278 	0.1339 	0.1170 	0.1055 	0.1284 	0.1236 
S,6000,MWH500-1999,KWH,X_VAT,EUR,EA	0.1355 	0.1386 	0.1542 	0.1915 	0.2151 	0.2234 	0.2083 	0.1948 	0.2013 	0.1973 
S,6000,MWH500-1999,KWH,X_VAT,EUR,EE	0.0873 	0.0957 	0.1526 	0.1625 	0.2586 	0.1567 	0.1570 	0.1429 	0.1484 	0.1435 
S,6000,MWH500-1999,KWH,X_VAT,EUR,EL	0.1059 	0.1174 	0.2238 	0.2310 	0.2457 	0.1902 	0.1832 	0.1550 	0.2005 	0.1967 
S,6000,MWH500-1999,KWH,X_VAT,EUR,ES	0.1175 	0.1074 	0.1459 	0.1879 	0.2202 	0.1597 	0.1536 	0.1371 	0.1426 	0.1413 
S,6000,MWH500-1999,KWH,X_VAT,EUR,EU27_2020	0.1259 	0.1290 	0.1447 	0.1837 	0.2107 	0.2151 	0.2003 	0.1885 	0.1941 	0.1902 
S,6000,MWH500-1999,KWH,X_VAT,EUR,FI	0.0759 	0.0676 	0.0800 	0.0808 	0.1150 	0.0957 	0.0885 	0.0870 	0.0786 	0.0804 
S,6000,MWH500-1999,KWH,X_VAT,EUR,FR	0.0954 	0.1057 	0.1018 	0.1273 	0.1267 	0.2529 	0.2133 	0.1802 	0.1785 	0.1640 
S,6000,MWH500-1999,KWH,X_VAT,EUR,GE	0.0435 	0.0713 	0.0657 	: 	0.0951 	0.0928 	0.0897 	0.0814 	0.0805 	0.0857 
S,6000,MWH500-1999,KWH,X_VAT,EUR,HR	0.1023 	0.1025 	0.1142 	0.1554 	0.2391 	0.2925 	0.2332 	0.2314 	0.2300 	0.2311 
S,6000,MWH500-1999,KWH,X_VAT,EUR,HU	0.0940 	0.0921 	0.1032 	0.1652 	0.2249 	0.3075 	0.2695 	0.2281 	0.2281 	0.2121 
S,6000,MWH500-1999,KWH,X_VAT,EUR,IE	0.1339 	0.1512 	0.1881 	0.2176 	0.2876 	0.2829 	0.2579 	0.2560 	0.2552 	0.2726 
S,6000,MWH500-1999,KWH,X_VAT,EUR,IS	0.0721 	0.0532 e	0.0724 e	0.0756 e	0.0800 e	0.0783 e	0.0804 e	0.0860 e	0.0970 e	: 
S,6000,MWH500-1999,KWH,X_VAT,EUR,IT	0.1514 	0.1584 	0.1853 	0.2525 	0.3372 	0.2443 	0.2284 	0.2090 	0.2274 	0.2336 
S,6000,MWH500-1999,KWH,X_VAT,EUR,LI	0.1034 	0.1000 	0.1117 	0.1405 	0.1558 	0.3255 	0.2540 	0.2045 	0.1896 	0.2135 
S,6000,MWH500-1999,KWH,X_VAT,EUR,LT	0.1026 	0.1046 	0.1396 	0.1803 	0.3297 	0.1668 	0.1619 	0.1688 	0.1640 	0.1600 
S,6000,MWH500-1999,KWH,X_VAT,EUR,LU	0.0938 	0.0954 	0.0974 	0.1294 	0.1512 	0.2485 	0.2342 	0.2048 	0.2040 	0.1775 
S,6000,MWH500-1999,KWH,X_VAT,EUR,LV	0.1055 	0.1012 	0.1351 	0.1250 	0.2157 	0.1465 	0.1508 	0.1469 	0.1460 	0.1375 
S,6000,MWH500-1999,KWH,X_VAT,EUR,MD	0.0718 	0.0633 	0.0640 	0.0761 	0.1495 	0.1465 	0.1098 	0.0989 	0.0975 	0.1695 
S,6000,MWH500-1999,KWH,X_VAT,EUR,ME	0.0659 	0.0867 	0.0665 	0.0850 	0.0859 	0.0861 	0.0816 	0.0851 	0.0848 	0.0867 p
S,6000,MWH500-1999,KWH,X_VAT,EUR,MK	0.0756 	0.0752 	0.1225 	0.1685 	0.3215 	0.1690 	0.1168 	0.1006 	0.1458 	0.1266 
S,6000,MWH500-1999,KWH,X_VAT,EUR,MT	0.1342 	0.1345 	0.1401 	0.1347 	0.1348 	0.1411 	0.1411 	0.1409 	0.1346 	0.1348 p
S,6000,MWH500-1999,KWH,X_VAT,EUR,NL	0.1089 	0.1185 	0.1296 	0.1773 	0.1861 	0.2448 	0.2177 	0.2093 	0.2105 	0.2046 
S,6000,MWH500-1999,KWH,X_VAT,EUR,NO	0.0483 	0.0811 	0.1200 	0.1467 	0.2130 	0.1140 	0.0822 	0.0876 	0.0684 	0.0820 
S,6000,MWH500-1999,KWH,X_VAT,EUR,PL	0.1077 	0.1092 	0.1104 	0.1555 	0.1702 	0.2133 	0.2119 	0.2083 	0.2100 	0.1995 
S,6000,MWH500-1999,KWH,X_VAT,EUR,PT	0.1114 	0.1066 	0.1186 	0.1202 	0.1359 	0.0954 	0.1161 	0.1149 	0.1332 	0.1322 
S,6000,MWH500-1999,KWH,X_VAT,EUR,RO	0.1019 	0.0992 	0.1293 	0.2347 d	0.3573 d	0.1781 	0.1718 	0.1599 	0.1669 	0.1719 
S,6000,MWH500-1999,KWH,X_VAT,EUR,RS	0.0796 	0.0795 	0.0873 	0.0964 	0.1172 	0.1384 	0.1492 	0.1533 	0.1333 	0.1411 
S,6000,MWH500-1999,KWH,X_VAT,EUR,SE	0.0672 	0.0711 	0.0982 	0.1121 	0.1525 	0.1069 	0.0901 	0.0942 	0.0853 	0.0964 
S,6000,MWH500-1999,KWH,X_VAT,EUR,SI	0.0976 	0.0920 	0.0999 	0.1585 	0.1968 	0.2213 	0.2047 	0.1725 	0.1802 	0.1555 
S,6000,MWH500-1999,KWH,X_VAT,EUR,SK	0.1316 	0.1275 	0.1345 	0.2160 	0.2429 	0.2687 	0.2330 	0.1883 	0.2061 	0.1967 
S,6000,MWH500-1999,KWH,X_VAT,EUR,TR	0.0640 	0.0661 	0.0736 	0.1181 	0.1949 	0.1402 	0.0994 	0.0905 	0.0972 	0.0902 
S,6000,MWH500-1999,KWH,X_VAT,EUR,UA	0.0558 	0.0595 	: 	: 	: 	: 	: 	: 	: 	: 
S,6000,MWH500-1999,KWH,X_VAT,EUR,XK	0.0679 	0.0673 	0.0676 	0.0670 	0.0676 	0.0730 	0.0785 	0.0772 	0.0759 	: 
S,6000,MWH500-1999,KWH,X_VAT,NAC,AL	12.8300 e	12.8100 e	12.8100 e	12.8100 	12.8100 	12.8100 e	12.8100 e	12.8100 	12.8100 e	14.0000 
S,6000,MWH500-1999,KWH,X_VAT,NAC,AT	0.1184 	0.1228 	0.1278 	0.1617 	0.1786 e	0.2597 e	0.2471 e	0.1987 e	0.2006 e	0.2029 e
S,6000,MWH500-1999,KWH,X_VAT,NAC,BA	0.1428 	0.1461 	0.1415 	0.1449 	0.1746 	0.1779 	0.1766 	0.1870 	0.1862 	0.2154 
S,6000,MWH500-1999,KWH,X_VAT,NAC,BE	0.1185 	0.1218 	0.1439 	0.1943 	0.2367 	0.2269 	0.2164 	0.1780 	0.1815 	0.1940 
S,6000,MWH500-1999,KWH,X_VAT,NAC,BG	0.1649 	0.1882 	0.3058 	0.3396 	0.3508 	0.2919 	0.2663 	0.2221 	0.2586 	0.2486 
S,6000,MWH500-1999,KWH,X_VAT,NAC,CY	0.1364 	0.1515 	0.1946 	0.2471 	0.3162 	0.2762 	0.2759 	0.2453 	0.2578 	0.2321 
S,6000,MWH500-1999,KWH,X_VAT,NAC,CZ	2.2375 	2.2834 	2.3019 	3.8777 	4.5056 	4.6764 	4.3736 	4.6285 	4.8915 	4.6114 
S,6000,MWH500-1999,KWH,X_VAT,NAC,DE	0.1818 	0.1813 	0.1860 	0.2132 	0.2056 	0.2192 	0.2175 	0.2328 	0.2359 	0.2281 
S,6000,MWH500-1999,KWH,X_VAT,NAC,DK	0.5110 	0.5929 	0.8655 	1.1970 	1.6943 	0.9969 	0.8725 	0.7870 	0.9578 	0.9223 
S,6000,MWH500-1999,KWH,X_VAT,NAC,EE	0.0873 	0.0957 	0.1526 	0.1625 	0.2586 	0.1567 	0.1570 	0.1429 	0.1484 	0.1435 
S,6000,MWH500-1999,KWH,X_VAT,NAC,EL	0.1059 	0.1174 	0.2238 	0.2310 	0.2457 	0.1902 	0.1832 	0.1550 	0.2005 	0.1967 
S,6000,MWH500-1999,KWH,X_VAT,NAC,ES	0.1175 	0.1074 	0.1459 	0.1879 	0.2202 	0.1597 	0.1536 	0.1371 	0.1426 	0.1413 
S,6000,MWH500-1999,KWH,X_VAT,NAC,FI	0.0759 	0.0676 	0.0800 	0.0808 	0.1150 	0.0957 	0.0885 	0.0870 	0.0786 	0.0804 
S,6000,MWH500-1999,KWH,X_VAT,NAC,FR	0.0954 	0.1057 	0.1018 	0.1273 	0.1267 	0.2529 	0.2133 	0.1802 	0.1785 	0.1640 
S,6000,MWH500-1999,KWH,X_VAT,NAC,GE	0.1638 	0.2852 	0.2382 	: 	0.2679 	0.2606 	0.2580 	0.2380 	0.2385 	0.2600 
S,6000,MWH500-1999,KWH,X_VAT,NAC,HR	0.7715 	0.7738 	0.8574 	1.1716 	1.8015 	0.2925 	0.2332 	0.2314 	0.2300 	0.2311 
S,6000,MWH500-1999,KWH,X_VAT,NAC,HU	33.5483 	32.9548 	37.0675 	61.9980 	91.5599 	117.0683 	103.1656 	88.8983 	91.4304 	85.7978 
S,6000,MWH500-1999,KWH,X_VAT,NAC,IE	0.1339 	0.1512 	0.1881 	0.2176 	0.2876 	0.2829 	0.2579 	0.2560 	0.2552 	0.2726 
S,6000,MWH500-1999,KWH,X_VAT,NAC,IS	11.5800 	8.0699 e	10.7700 e	10.6881 e	11.4500 e	11.8300 e	11.8400 e	12.8500 e	14.4600 e	: 
S,6000,MWH500-1999,KWH,X_VAT,NAC,IT	0.1514 	0.1584 	0.1853 	0.2525 	0.3372 	0.2443 	0.2284 	0.2090 	0.2274 	0.2336 
S,6000,MWH500-1999,KWH,X_VAT,NAC,LI	0.1121 	0.1095 	0.1193 	0.1450 	0.1524 	0.3207 	0.2434 	0.1966 	0.1790 	0.2010 
S,6000,MWH500-1999,KWH,X_VAT,NAC,LT	0.1026 	0.1046 	0.1396 	0.1803 	0.3297 	0.1668 	0.1619 	0.1688 	0.1640 	0.1600 
S,6000,MWH500-1999,KWH,X_VAT,NAC,LU	0.0938 	0.0954 	0.0974 	0.1294 	0.1512 	0.2485 	0.2342 	0.2048 	0.2040 	0.1775 
S,6000,MWH500-1999,KWH,X_VAT,NAC,LV	0.1055 	0.1012 	0.1351 	0.1250 	0.2157 	0.1465 	0.1508 	0.1469 	0.1460 	0.1375 
S,6000,MWH500-1999,KWH,X_VAT,NAC,MD	1.4372 	1.3484 	1.3165 	1.5367 	2.9297 	2.9138 	2.1301 	1.9000 	1.8825 	3.3041 
S,6000,MWH500-1999,KWH,X_VAT,NAC,ME	0.0659 	0.0867 	0.0665 	0.0850 	0.0859 	0.0861 	0.0816 	0.0851 	0.0848 	0.0867 p
